,toponym,pid,type,scale
35954,Waipaipai,46505,locality,4
35955,Waipaipai Stream,46506,stream,3
35956,Waipai Stream,46503,stream,3
35957,Waipai Swamp,46504,swamp,4
35958,Waipaka Creek,46507,stream,3
35959,Waipakaru Stream,46508,stream,3
35960,Waipakihi River,6768,stream,3
35961,Waipakikau Stream,46510,stream,3
35962,Waipakipaki Stream,46511,stream,3
35963,Waipakupaku Creek,46512,stream,3
35964,Waipango,46514,locality,4
35965,Waipaoa,46517,locality,4
35966,Waipaoa River,46518,stream,3
35967,Waipaoa Stream,46519,stream,3
35968,Waipao Bay,6769,bay,3
35969,Waipao Stream,46516,stream,3
35970,Waipapa,58374,farm,4
35971,Waipapa,57919,farmstead,5
35972,Waipapa,46521,locality,4
35973,Waipapa,46520,locality,4
35974,Waipapa,46522,locality,4
35975,Waipapa Bay,46525,bay,3
35976,Waipapa Bay,46524,bay,3
35977,Waipapa Bay,46523,bay,3
35978,Waipapa Bay,6770,bay,3
35979,Waipapa Creek,14066,stream,3
35980,Waipapa Creek,46526,stream,3
35981,Waipapa Island,46528,island,4
35982,Waipapaiti Stream,46577,stream,3
35983,Waipapakara Stream,46578,stream,3
35984,Waipapakauri,46579,locality,4
35985,Waipapakauri Beach,46580,locality,4
35986,Waipapakauri Creek,46581,stream,3
35987,Waipapakauri Outfall,46582,canal,4
35988,Waipapakauri Pa,46583,historical site,5
35989,Waipapakauri Stream,46584,stream,3
35990,Waipapa Marae,46529,reservation,4
35991,Waipapa Marae,46530,reservation,4
35992,Waipapa Point,6771,point,4
35993,Waipapa Point,46531,point,4
35994,Waipapa Point,51142,point,4
35995,Waipapa River,46532,stream,3
35996,Waipapa River,46534,stream,3
35997,Waipapa River,46533,stream,3
35998,Waipapa Stream,58939,stream,3
35999,Waipapa Stream,46574,stream,3
36000,Waipapa Stream,46541,stream,3
36001,Waipapa Stream,46540,stream,3
36002,Waipapa Stream,46537,stream,3
36003,Waipapa Stream,46538,stream,3
36004,Waipapa Stream,46542,stream,3
36005,Waipapa Stream,46551,stream,3
36006,Waipapa Stream,46544,stream,3
36007,Waipapa Stream,46556,stream,3
36008,Waipapa Stream,46572,stream,3
36009,Waipapa Stream,46549,stream,3
36010,Waipapa Stream,46550,stream,3
36011,Waipapa Stream,46552,stream,3
36012,Waipapa Stream,46553,stream,3
36013,Waipapa Stream,46575,stream,3
36014,Waipapa Stream,46555,stream,3
36015,Waipapa Stream,46568,stream,3
36016,Waipapa Stream,46569,stream,3
36017,Waipapa Stream,46559,stream,3
36018,Waipapa Stream,46570,stream,3
36019,Waipapa Stream,46561,stream,3
36020,Waipapa Stream,46573,stream,3
36021,Waipapa Stream,46565,stream,3
36022,Waipapa Stream,46571,stream,3
36023,Waipapa Stream,46562,stream,3
36024,Waipapa Stream,46563,stream,3
36025,Waipapa Stream,46566,stream,3
36026,Waipapa Stream,46567,stream,3
36027,Waipapa Stream,46554,stream,3
36028,Waipapa Stream,46557,stream,3
36029,Waipapa Stream,46558,stream,3
36030,Waipapa Stream,46560,stream,3
36031,Waipapa Stream,46543,stream,3
36032,Waipapa Stream,46545,stream,3
36033,Waipapa Stream,46546,stream,3
