,toponym,pid,type,scale
0,15 Mile Creek,15040,stream,3
1,17 Mile Creek,54362,stream,3
2,1st Basin,15042,pan,4
3,2nd Basin,15044,pan,4
4,3rd Basin,15046,pan,4
5,45th Parallel marker,15047,historical site,5
6,4th Basin,15048,pan,4
7,5 Mile Creek,15049,stream,3
8,A1 Creek,15051,stream,3
9,Aan River,15052,stream,3
10,Aaron Creek,15053,stream,3
11,Abaft Gully,15054,gorge(s),5
12,Abandon Brook,15055,stream,3
13,Abbey Caves,15057,cave(s),5
14,Abbey Pass,54672,pass,4
15,Abbey Rocks,15058,rocks,4
16,Abbots Creek,15059,stream,3
17,Abbotsford,15060,populated place,4
18,Abbott Passage,15061,strait,4
19,Abbotts Creek,56486,stream,3
20,Abbotts Hill,15062,mountain,5
21,ABC Cave,54674,cave(s),5
22,Abel Glacier,1,glacier(s),4
23,Abel Head,49636,point,4
24,Abel Head,15064,cape,5
25,Abel Janszoon Glacier,2,glacier(s),4
26,Abel Lake,3,lake,4
27,Abel Tasman Monument,15066,historical site,5
28,Abel Tasman National Park,4,park,4
29,Abel Tasman Point,5,point,4
30,Abel Tasman Roadstead,6,strait,4
31,Abernethys Creek,15067,stream,3
32,Abes Gully,15068,gorge(s),5
33,Abners Head,15069,hill,5
34,Abrahams Bay,15070,bay,3
35,Abrahams Bosom,15071,bay,3
36,Abruzzi Glacier,7,glacier(s),4
37,Abseil Peak,8,hill,5
38,Absolum Creek,15073,stream,3
39,Abut Head,15074,point,4
40,Acacia Bay,15075,populated place,4
41,Acacia Bay,49637,populated place,4
42,Acacia Bay North,9,bay,3
43,Acacia Bay South,10,bay,3
44,Access Creek,15077,stream,3
45,Access Creek,15076,stream,3
46,Access Peak,11,hill,5
47,Accident Creek,15078,stream,3
48,Accord Point,15079,point,4
49,Acheron Anchorage,15080,bay,3
50,Acheron Flat,12,plain(s),3
51,Acheron Lakes,13,lake,4
52,Acheron Passage,15081,strait,4
53,Acheron Point,15082,point,4
54,Acheron River,15084,stream,3
55,Acheron River,15083,stream,3
56,Acheron Saddle,15085,pass,4
57,Acheson Stream,15087,stream,3
58,Achilles Point,15,point,4
59,Aciphylla Creek,16,stream,3
60,Aciphylla Stream,15089,stream,3
61,Ackers Point,15090,point,4
62,Acland Falls,15091,waterfall(s),5
63,Acland Lagoon,15092,lake,4
64,Acre Creek,15093,stream,3
65,Acrobat Creek,15094,stream,3
66,Acton Stream,15095,stream,3
67,Actual Creek,15096,stream,3
68,Ada Creek,15097,stream,3
69,Ada Flat,17,plain(s),3
70,Ada Flat,15098,plain(s),3
71,Adair,15101,locality,4
72,Adam Creek,15103,stream,3
73,Adam Creek,18,stream,3
74,Adam Creek,19,stream,3
75,Adam Head,15104,point,4
76,Adams Burn,20,stream,3
77,Adams Col,21,pass,4
78,Adams Creek,15107,stream,3
79,Adams Creek,15106,stream,3
80,Adams Creek,15108,stream,3
81,Adams Flat,15109,populated place,4
82,Adams Flat,22,plain(s),3
83,Adams Glacier,23,glacier(s),4
84,Adams Glacier,11927,glacier(s),4
85,Adams Gully,15112,gorge(s),5
86,Adams Gully,15110,gorge(s),5
87,Adams Gully,15111,gorge(s),5
88,Adams Hill,24,hill,5
89,Adams Island,49523,island,4
90,Adamson Creek,15119,stream,3
91,Adamson Creek,15117,stream,3
92,Adamson Creek,15118,stream,3
93,Adams Peak,15113,hill,5
94,Adams Peak,11929,hill,5
95,Adams Range,15114,mountains,2
96,Adams River,15115,stream,3
97,Adams Rocks,49536,rocks,4
98,Adams Stream,25,stream,3
99,Adams Stream,15116,stream,3
100,Adams Stream,49129,stream,3
101,Adamstown Creek,15120,stream,3
102,Ada Pass,15099,hill,5
103,Ada River,15100,stream,3
104,Adderley Head,26,cape,5
105,Addington,15121,section of populated place,3
106,Addisons Flat,15122,plain(s),3
107,Adelaide Peak,27,hill,5
108,Adelaide Saddle,15123,pass,4
109,Adelaide Tarn,28,lake,4
110,Adele Island,15124,island,4
111,Adiantum Bluff,15125,cliff(s),4
112,Adieu Creek,15127,stream,3
113,Adieu Creek,15126,stream,3
114,Adieu Point,15128,point,4
115,Adit Stream,29,stream,3
116,Adkin,15129,hill,5
117,Administration Bay,15130,bay,3
118,Admirals Bay,30,bay,3
119,Admirals Pool,31,lake,4
120,Admiralty Bay,15132,bay,3
121,Advance Creek,15134,stream,3
122,Advance Peak,15135,peak,5
123,Adventure Hill,15136,hill,5
124,Adventure Ridge,15137,ridge(s),4
125,Adverse Creek,32,stream,3
126,Adverse Glacier,33,glacier(s),4
127,Aeroplane Flat,34,plain(s),3
128,Aeroplane Peak,35,hill,5
129,Afton Burn,15141,stream,3
130,Afton Burn East Branch,15142,stream,3
131,Afton Peak,15143,peak,5
132,Afton Saddle,15144,pass,4
133,Agassiz Glacier,15145,glacier(s),4
134,Agassiz Range,15146,mountains,2
135,Age Glacier,15147,glacier(s),4
136,Agfa Knob,36,hill,5
137,Agility Creek,15148,stream,3
138,Agnes Glacier,15149,glacier(s),4
139,Agnes Stream,37,stream,3
140,Ahaaha Rocks,15151,rocks,4
141,Ahaura,15152,populated place,4
142,Ahaura River,15153,stream,3
143,Ahern Creek,15154,stream,3
144,Ahiapurua,15155,hill,5
145,Ahiaruhe Shell Bank,15156,bank(s),4
146,Ahiaruhe Stream,15157,stream,3
147,Ahiawa Stream,15158,stream,3
148,Ahiherua Stream,15159,stream,3
149,Ahikaeaea,15160,hill,5
150,Ahikaroa,15161,hill,5
151,Ahikiwi,15162,locality,4
152,Ahikopua Point,15163,point,4
153,Ahikumukumu Stream,15165,stream,3
154,Ahimanawa,15166,hill,5
155,Ahimanawa Range,15167,mountains,2
156,Ahimanawa Stream,15169,stream,3
157,Ahimanawa Stream,15168,stream,3
158,Ahimanawa Stream,15170,stream,3
159,Ahimanu,15171,hill,5
160,Ahimanu Bay,15172,bay,3
161,Ahimate Stream,15173,stream,3
162,Ahimate Stream,38,stream,3
163,Ahimia,49639,populated place,4
164,Ahioteatua,15175,hill,5
165,Ahioteatua,15174,hill,5
166,Ahipaepae,15176,hill,5
167,Ahipara,15177,hill,5
168,Ahipara,15178,populated place,4
169,Ahipara Bay,15179,bay,3
170,Ahipara Gumfields Historic Reserve,7554,park,4
171,Ahipukahu Stream,15180,stream,3
172,Ahirau,15181,hill,5
173,Ahirau Stream,15182,stream,3
174,Ahirau Stream,15184,stream,3
175,Ahirau Stream,15183,stream,3
176,Ahiroa Point,15185,point,4
177,Ahirongahua,15186,hill,5
178,Ahitarakihi Bay,15187,bay,3
179,Ahititi,15190,locality,4
180,Ahititi,15188,hill,5
181,Ahititi Stream,15191,stream,3
182,Ahiweka,15192,hill,5
183,Ahoroa Rock,15193,island,4
184,Ahuahuiti Stream,15196,stream,3
185,Ahuahu Stream,15195,stream,3
186,Ahuapunga,15197,hill,5
187,Ahuateatua,39,hill,5
188,Ahukawakawa (sphagnum moss swamp),15198,swamp,4
189,Ahukawhaka,15199,hill,5
190,Ahukuramu Stream,15200,stream,3
191,Ahurangi Stream,15201,stream,3
192,Ahuriri,40,section of populated place,3
193,Ahuriri Bay,15203,bay,3
194,Ahuriri Bay,15202,bay,3
195,Ahuriri Flat,15204,locality,4
196,Ahuriri Pa,15205,historical site,5
197,Ahuriri Point,15207,point,4
198,Ahuriri Point,15206,point,4
199,Ahuriri River,15208,stream,3
200,Ahuriri River East Branch,15209,stream,3
201,Ahuriri Stream,15210,stream,3
202,Ahuroa,15211,hill,5
203,Ahuroa,15212,populated place,4
204,Ahuroa River,15213,stream,3
205,Ahuroa Stream,15214,stream,3
206,Ahurua,15215,hill,5
207,Ahu Stream,15194,stream,3
208,Aickens,15217,populated place,4
209,Aickens,59160,populated place,4
210,Aida Glacier,15218,glacier(s),4
211,Aigrette,15219,hill,5
212,Aiguille Rouge,15220,hill,5
213,Aiguilles Island,15221,island,4
214,Aiguilles Rouges,15222,hill,5
215,Ailsa Craig,15223,mountain,5
216,Ailsa Creek,15224,stream,3
217,Ailsa Mountains,15225,mountains,2
218,Ailsa Pass,15226,pass,4
219,Ailsa Stream,15227,stream,3
220,Ainsley Creek,43,stream,3
221,Airedale,15229,locality,4
222,Airedale Reef,15230,reef(s),4
223,Airstrip Stream,15231,stream,3
224,Ajax Creek,15232,stream,3
225,Ajax Hill,15233,hill,5
226,Ajax Stream,45,stream,3
227,A.J. Stream,15050,stream,3
228,Aka Aka,15234,locality,4
229,Aka Aka Stream,15235,stream,3
230,Akapatiki Flat,46,plain(s),3
231,Akaroa,15238,populated place,4
232,Akaroa,15237,locality,4
233,Akaroa Head,47,cape,5
234,Akatarawa River,15240,stream,3
235,Akatarawa River West,15241,stream,3
236,Akatarawa Saddle,15242,pass,4
237,Akatarere Point,15244,point,4
238,Akatarere Point,15243,point,4
239,Akatarewa Stream,15245,stream,3
240,Akatea Stream,15246,stream,3
241,Akatere,59089,locality,4
242,Akatere,48,hill,5
243,Akatore Creek,15248,stream,3
244,Akeake Stream,15249,stream,3
245,Akeake Stream,51,stream,3
246,Akerama,15250,locality,4
247,Akersten Bay,52,bay,3
248,Akina,15252,section of populated place,3
249,Akina,15251,point,4
250,Akura Stream,15256,stream,3
251,Alabama Stream,15257,stream,3
252,Alabaster Creek,15258,stream,3
253,Alabaster Pass,53,pass,4
254,Alamein Peak,54,hill,5
255,Alan Gully,15260,gorge(s),5
256,Alan Stream,55,stream,3
257,Alarm Creek,15261,stream,3
258,Alarm Mountain,15262,mountain,5
259,Albany,56,populated place,4
260,Albany Heights,57,locality,4
261,Albany Village,15264,locality,4
262,Albatross Point,13587,point,4
263,Albatross Point,15265,point,4
264,Albert Burn,15266,stream,3
265,Albert Burn,15267,stream,3
266,Albert Burn Saddle,15268,pass,4
267,Albert Channel,58,strait,4
268,Albert Edward Peak,15270,hill,5
269,Albert Glacier,15271,glacier(s),4
270,Albert Lake,59,lake,4
271,Albert Peak,60,hill,5
272,Alberts Cap,15272,hill,5
273,Alberts Creek,15273,stream,3
274,Albert Town,61,locality,4
275,Albion Inlet,62,bay,3
276,Albury,15275,locality,4
277,Alcove Stream,63,stream,3
278,Alderson Falls,15277,waterfall(s),5
279,Aldinga Creek,15278,stream,3
280,Alec Creek,15279,stream,3
281,Alert Bay,13588,bay,3
282,Alert Stack,13794,rock,5
283,Alexander,15281,hill,5
284,Alexander Creek,15284,stream,3
285,Alexander Creek,15283,stream,3
286,Alexander Creek,15282,stream,3
287,Alexander McKay Falls,64,waterfall(s),5
288,Alexander Peak,55367,hill,5
289,Alexander Range,15286,mountains,2
290,Alexander River,15287,stream,3
291,Alexanders Creek,15288,stream,3
292,Alexanders Hill,15289,hill,5
293,Alexandra,15290,administrative division,3
294,Alexandra,59842,administrative division,3
295,Alexandra Creek,15291,stream,3
296,Alexandra Peak,65,peak,5
297,Alexandra Redoubt,15292,historical site,5
298,Alexandra Stream,15293,stream,3
299,Alex Knob,15280,hill,5
300,Alf Creek,15295,stream,3
301,Alf Creek,15294,stream,3
302,Alfern Creek,15296,stream,3
303,Alford Forest,15297,locality,4
304,Alford Forest,55123,locality,4
305,Alford Range,15298,mountains,2
306,Alfred Peak,15299,hill,5
307,Alfred River,15300,stream,3
308,Alfreds Creek,15303,stream,3
309,Alfred Stream,15301,stream,3
310,Alfred Stream,15302,stream,3
311,Alfredton,15304,populated place,4
312,Alfriston,15305,locality,4
313,Algies Bay,15306,populated place,4
314,Algies Bay,59420,populated place,4
315,Alhambra Rock,66,rock,5
316,Alice Burn,15307,stream,3
317,Alice Creek,15308,stream,3
318,Alice Falls,15309,waterfall(s),5
319,Alice Glen,67,gorge(s),5
320,Alice Peak,68,hill,5
321,Alice Peaks,15310,hill,5
322,Alicetown,15311,section of populated place,3
323,Alick Glacier,15312,glacier(s),4
324,Alioth Brook,15313,stream,3
325,Alison Creek,15314,stream,3
326,Allandale,15319,locality,4
327,Allandale,15330,populated place,4
328,Allan Knob,15317,hill,5
329,Allans Beach,15320,beach,3
330,Allans Point,70,point,4
331,Allanton,15321,populated place,4
332,Allan Water,15318,stream,3
333,All Day Bay,69,bay,3
334,Allen Creek,15324,stream,3
335,Allen Creek,15323,stream,3
336,Allen Creek,15322,stream,3
337,Allen Range,71,mountains,2
338,Allen River,15326,stream,3
339,Allen River Left Branch,15327,stream,3
340,Allen River Right Branch,15328,stream,3
341,Allen Swamp,72,stream,3
342,Allenton,15332,section of populated place,3
343,Alligator Head,15333,point,4
344,Allman Bay,15334,bay,3
345,All Nations Creek,15315,stream,3
346,Allom Bay,15335,bay,3
347,Allports Island,15336,island,4
348,All Round Peak,15316,hill,5
349,Allsops Bay,49643,lake,4
350,All-Up Creek,15337,stream,3
351,Allup Ravine,15338,gorge(s),5
352,Ally Trickle,15339,stream,3
353,Alma,15340,hill,5
354,Alma,15341,locality,4
355,Alma Col,74,pass,4
356,Almadale,15348,locality,4
357,Alma Heights,75,ridge(s),4
358,Alma Hill,15344,hill,5
359,Alma Peak,15345,peak,5
360,Alma River,15346,stream,3
361,Alma Saddle,76,pass,4
362,Alma Spur,77,ridge(s),4
363,Alma Stream,15347,stream,3
364,Almer Glacier,15349,glacier(s),4
365,Alpha,15352,mountain,5
366,Alpha Burn,15353,farmstead,5
367,Alpha Creek,79,stream,3
368,Alpha Creek,15354,stream,3
369,Alpha Creek,15355,stream,3
370,Alph Caves,15350,cave(s),5
371,Alpheus Creek,81,stream,3
372,Alph Stream,78,stream,3
373,Alpine Creek,15357,stream,3
374,Alpine Flat,15358,plain(s),3
375,Alpine Lake/Ata Puai,7295,lake,4
376,Also Gully,15359,gorge(s),5
377,Altimarloch,15360,hill,5
378,Alton,15361,populated place,4
379,Alton Burn,15362,stream,3
380,Alum Gully,15363,gorge(s),5
381,Alum Lake,15364,lake,4
382,Alva Creek,15365,stream,3
383,Amazon Cove,15366,cove(s),4
384,Amazon Peak,83,hill,5
385,Amber Col,85,pass,4
386,Amberley,15367,populated place,4
387,Amberley Beach,15368,locality,4
388,Amberley Beach Lagoon,86,lake,4
389,Ambrose Creek,15369,stream,3
390,Ambrose Saddle,87,pass,4
391,Ambury Bluff,88,ridge(s),4
392,Ambury Park,15370,locality,4
393,Ameku,15371,mountain,5
394,Amerikiwhati Island,15372,island,4
395,Amethyst Ravine,15373,gorge(s),5
396,Amherst Glacier,89,glacier(s),4
397,Amia Stream,15374,stream,3
398,Amisfield,56209,farmstead,5
399,Amisfield Burn,15375,stream,3
400,Amodeo Bay,15376,populated place,4
401,Amodeo Rocks,14302,island,4
402,Amohia Peak,15378,hill,5
403,Amphion Peak,91,hill,5
404,Amphitheatre Creek,93,stream,3
405,Amphitheatre Creek,15382,stream,3
406,Amphlett Stream,94,stream,3
407,Amuri Pass,15383,pass,4
408,Amuri Plain,95,plain(s),3
409,Anaconda,15385,hill,5
410,Ana-kai-nehu,15386,cave(s),5
411,Anakakata Bay,15387,bay,3
412,Anakawau Bay,15388,bay,3
413,Anakiwa,15389,locality,4
414,Anakoha Bay,15390,bay,3
415,Anama,97,locality,4
416,Anamata Stream,98,stream,3
417,Ananui Caves,15391,cave(s),5
418,Ananui Creek,15392,stream,3
419,Ananui Falls,99,waterfall(s),5
420,Ananui Stream,100,stream,3
421,Anaomaki Point,15393,point,4
422,Anaotehuruhuru Stream,15394,stream,3
423,Anapai Bay,15395,bay,3
424,Anaputa Point,15396,point,4
425,Anarake Point,15398,point,4
426,Anaru Stream,15399,stream,3
427,Anatakapau Bay,15400,bay,3
428,Anatakupu Island,105,island,4
429,Anataonga Cave,15401,cave(s),5
430,Anatimo,15402,locality,4
431,Anatohia Bay,15403,bay,3
432,Anatoki Peak,15405,hill,5
433,Anatoki Range,15406,mountains,2
434,Anatoki River,15407,stream,3
435,Anatori,15408,locality,4
436,Anatori River,106,stream,3
437,Ana Tupapaku,15384,cave(s),5
438,Anaura Bay,15410,bay,3
439,Anauraiti Stream,15413,stream,3
440,Anaura Marae,15411,reservation,4
441,Anaura Stream,15412,stream,3
442,Anaweka River,15414,stream,3
443,Anawhata,15415,locality,4
444,Anawhata Stream,15416,stream,3
445,Anawhenua Stream,15417,stream,3
446,Anchorage Arm,15424,bay,3
447,Anchorage Bay,15425,bay,3
448,Anchorage Bay,13589,bay,3
449,Anchorage Cove,15426,bay,3
450,Anchorage Cove,15427,cove(s),4
451,Anchorage Island,15428,island,4
452,Anchor Bay,15419,bay,3
453,Anchor Bay,15418,bay,3
454,Anchor Island,15420,island,4
455,Anchor Island Harbour,15421,bay,3
456,Anchorite Rock,14304,rock,5
457,Anchor Point,15423,point,4
458,Anchor Point,15422,point,4
459,Andermatten Glacier,15429,glacier(s),4
460,Anderson Creek,15432,stream,3
461,Anderson Creek,15430,stream,3
462,Anderson Creek,15431,stream,3
463,Anderson Glen,15433,gorge(s),5
464,Anderson Peak,108,hill,5
465,Andersons Bay,15435,section of populated place,3
466,Andersons Bay Inlet,15436,bay,3
467,Andersons Cove,15437,cove(s),4
468,Andersons Flat,15438,plain(s),3
469,Andersons Floodway,15439,canal,4
470,Andersons Stream,15440,stream,3
471,Anderson Stream,110,stream,3
472,Anderson Stream,113,stream,3
473,Anderson Stream,111,stream,3
474,Anderson Stream,15434,stream,3
475,Anderson Stream,109,stream,3
476,Andesite Point,15441,point,4
477,Andesite Stream,15442,stream,3
478,Andrew Burn,15443,stream,3
479,Andrew Creek,15444,stream,3
480,Andrews Creek,15445,stream,3
481,Andrews Creek,56018,stream,3
482,Andrews Stream,15446,stream,3
483,Andrews Stream,15447,stream,3
484,Andrews Stream,114,stream,3
485,Andrewville,15448,section of populated place,3
486,Andy Flat,15449,plain(s),3
487,Andy Glacier,15450,glacier(s),4
488,Anehu Stream,15451,stream,3
489,Aneroa Stream,15452,stream,3
490,Angakakahi Stream,15453,stream,3
491,Angel Col,115,pass,4
492,Angel Spur,116,ridge(s),4
493,Angelus Peak,117,hill,5
494,Angelus Ridge,118,ridge(s),4
495,Angle Knob,15456,hill,5
496,Angle Knob Creek,15457,stream,3
497,Angle Peak,15458,hill,5
498,Angley Gully,15459,gorge(s),5
499,Anguilla Burn,15460,stream,3
500,Angus Burn,15461,stream,3
501,Angus Flat,119,plain(s),3
502,Anini Stream,15463,stream,3
503,Aniseed Hill,120,hill,5
504,Aniseed Valley,15466,gorge(s),5
505,Anise Hill,15464,hill,5
506,Anise Spur,15465,ridge(s),4
507,Anita Bay,15468,bay,3
508,Anita Bay,15467,bay,3
509,Anita Peak,121,hill,5
510,Aniwaniwa,15469,locality,4
511,Aniwaniwa Falls,15470,waterfall(s),5
512,Aniwaniwa Stream,15471,stream,3
513,Aniwaniwa Stream,15472,stream,3
514,Aniwhaniwha Falls,15473,waterfall(s),5
515,Anna Glacier,15474,glacier(s),4
516,Annan Gully,15476,gorge(s),5
517,Anna Stream,123,stream,3
518,Annat,15477,locality,4
519,Annear Creek,124,stream,3
520,Annedale Stream,125,stream,3
521,Anne River,15478,stream,3
522,Anne Saddle,15479,pass,4
523,Annesbrook,15481,section of populated place,3
524,Annette Plateau,127,glacier(s),4
525,Annetts Creek,15482,stream,3
526,Annexation Point,57441,point,4
527,Annick Peak,128,hill,5
528,Annie Bay,15484,bay,3
529,Annie Peak,15485,peak,5
530,Annie Peak,15486,hill,5
531,Anniversary Point,129,point,4
532,Annoyance Bluff,15487,cliff(s),4
533,Ann Point,122,point,4
534,Anns Creek,15488,stream,3
535,Anopungapunga Stream,15489,stream,3
536,Anslow Creek,15490,stream,3
537,Anson Stream,15491,stream,3
538,Anstey Stream,130,stream,3
539,Antarctic Bay,13683,bay,3
540,Anticline Creek,132,stream,3
541,Anti Crow River,15492,stream,3
542,Antimony Saddle,15494,pass,4
543,Antipodes Island,13590,island,4
544,Antipodes Island Group,13591,islands,3
545,Antomany Creek,15495,stream,3
546,Antonios Creek,15496,stream,3
547,Antonios Flat,15497,plain(s),3
548,Antony Creek,134,stream,3
549,Ant Stream,131,stream,3
550,Anxiety Point,15498,point,4
551,Anybody Creek,15499,stream,3
552,Anzac Bay,15501,bay,3
553,Anzac Bay,15500,bay,3
554,Anzac Peaks,15502,hill,5
555,Aohanga River,49648,stream,3
556,Aokaparangi,15503,hill,5
557,Aokaparangi Creek,15504,stream,3
558,Aokautere,15505,populated place,4
559,Aongatete,15506,locality,4
560,Aongatete River,15507,stream,3
561,Aoparauri,15508,hill,5
562,Aoraki/Mount Cook,7298,locality,4
563,Aoraki/Mount Cook,7297,hill,5
564,Aorangaia Island,15509,island,4
565,Aorangi,15510,mountain,5
566,Aorangi,15512,locality,4
567,Aorangi,15513,locality,4
568,Aorangi,15511,mountain,5
569,Aorangi Island,15515,island,4
570,Aorangi No. 1 Drain,15517,canal,4
571,Aorangi Range,135,mountains,2
572,Aorangi Stream,136,stream,3
573,Aorangi Stream,15518,stream,3
574,Aorangiwai River,15519,stream,3
575,Aorere,15520,locality,4
576,Aorere Caves,15521,cave(s),5
577,Aorere Peak,15522,hill,5
578,Aorere River,15523,stream,3
579,Aorere Saddle,15524,pass,4
580,Aorere Stream,15525,stream,3
581,Aotea,56207,locality,4
582,Aotea,137,farmstead,5
583,Aotea,15526,locality,4
584,Aotea,49650,locality,4
585,Aotea Cliffs,15527,cliff(s),4
586,Aotea Harbour,15528,bay,3
587,Aotea Reef,14103,reef(s),4
588,Aotearoa Marae,15529,reservation,4
589,Aotearoa Pa,15530,historical site,5
590,Aotearoa Point,15531,point,4
591,Aotuhia,15532,populated place,4
592,Aotutao Stream,15533,stream,3
593,Apahai Creek,15534,stream,3
594,Apakura Stream,15535,stream,3
595,Apanui,15536,locality,4
596,Aparima,15537,locality,4
597,Aparima Peaks,15538,peak,5
598,Aparima River,15539,stream,3
599,Aparima River South Branch,15540,stream,3
600,Apata,15541,locality,4
601,Apias Creek,15542,stream,3
602,Apirana Peak,138,hill,5
603,Apiti Bay,15545,bay,3
604,Apiti Stream,15548,stream,3
605,Apiti Stream,15546,stream,3
606,Apiti Stream,15547,stream,3
607,Apley,15549,hill,5
608,Apogee Creek,140,stream,3
609,Apollo Creek,141,stream,3
610,Apollo Peak,142,hill,5
611,Apollo Peak,10752,hill,5
612,Aponga,15551,locality,4
613,Aponga Stream,15552,stream,3
614,Apostles Rock,15553,rock,5
615,Apotu,15555,locality,4
616,Apotu,15554,hill,5
617,Apotu Stream,15556,stream,3
618,Apparition Spur,15557,ridge(s),4
619,Appleby,15559,section of populated place,3
620,Apple Tree Bay,143,bay,3
621,Appletree Creek,15561,stream,3
622,Appletree Creek,15560,stream,3
623,Apple Tree Flat,15558,plain(s),3
624,Appleyard Stream,144,stream,3
625,Appos Creek,15562,stream,3
626,Appos Flat,15563,plain(s),3
627,Apricot Flat,145,plain(s),3
628,Apteryx Spur,15564,cliff(s),4
629,Apuapu Bay,15565,bay,3
630,Apuau Channel,15566,channel,4
631,Apungi Pa,15567,historical site,5
632,Aputa Stream,15568,stream,3
633,Aputerewa,15569,locality,4
634,Ara,15571,mountain,5
635,Ara,15570,hill,5
636,Ara,15572,hill,5
637,Araara Island,146,island,4
638,Arahaki Lagoon,51342,lake,4
639,Araheke Stream,15573,stream,3
640,Arahiwi,15574,locality,4
641,Arahura,15575,populated place,4
642,Arahura River,15576,stream,3
643,Araiteuru Pa,15577,historical site,5
644,Araiwhenua Stream,15578,stream,3
645,Arakaninihi Island,15579,island,4
646,Arakihi,15580,hill,5
647,Arakitahi Stream,15581,stream,3
648,Arakoko Stream,15582,stream,3
649,Arakura,15583,section of populated place,3
650,Aramahoe Stream,15584,stream,3
651,Aramahoe Stream,15585,stream,3
652,Aramaire,15586,hill,5
653,Aramaire Stream,15587,stream,3
654,Aramiro,15588,populated place,4
655,Aramoana,15589,populated place,4
656,Aramoana,15590,locality,4
657,Aramoho,15591,populated place,4
658,Aran Brook,147,stream,3
659,Aranga,15592,locality,4
660,Aranga Beach,15593,locality,4
661,Aranui,15594,populated place,4
662,Aranui Cave,15595,cave(s),5
663,Arapae,15596,locality,4
664,Arapaoa,15597,locality,4
665,Arapaoa River,15598,stream,3
666,Arapara Stream,15599,stream,3
667,Araparera,15600,locality,4
668,Araparera River,15601,stream,3
669,Arapatiki Bay,15602,bay,3
670,Arapawa,15603,hill,5
671,Arapawa Island,15604,island,4
672,Arapawaiti,15605,hill,5
673,Arapawaiti Point,15606,point,4
674,Arapawanui Pa,15607,historical site,5
675,Arapeti Stream,15608,stream,3
676,Arapito,15609,populated place,4
677,Arapito Creek,149,stream,3
678,Arapohue,15610,populated place,4
679,Arapoto Stream,15611,stream,3
680,Arapuni,15612,populated place,4
681,Ararata,15613,locality,4
682,Ararata Stream,15614,stream,3
683,Ararawa Stream,15615,stream,3
684,Ararimu,15616,populated place,4
685,Ararimu Stream,15618,stream,3
686,Ararimu Stream,15619,stream,3
687,Ararimu Stream,15620,stream,3
688,Ararimu Stream,15617,stream,3
689,Ararua,15621,locality,4
690,Arataha Stream,15622,stream,3
691,Arataki,15623,locality,4
692,Arataki,56178,locality,4
693,Arataki Stream,15624,stream,3
694,Aratapu,15625,populated place,4
695,Aratapu Creek,15626,stream,3
696,Aratataramoa,15627,hill,5
697,Arataua,15628,hill,5
698,Arataura,15629,building(s),5
699,Arataura Point,15630,point,4
700,Aratawa,15631,hill,5
701,Aratawa Bay,15632,bay,3
702,Aratawa Stream,15633,stream,3
703,Arateka Stream,15634,stream,3
704,Aratiatia,15635,locality,4
705,Aratika,15636,locality,4
706,Aratoro,15638,locality,4
707,Aratoto Stream,15639,stream,3
708,Araukuku Pa,15640,historical site,5
709,Arawata River,49655,stream,3
710,Arawata Saddle,49657,pass,4
711,Arawata Stream,15642,stream,3
712,Arawhata,153,locality,4
713,Arawhatapara Stream,15649,stream,3
714,Arawhata Point,15643,point,4
715,Arawhata River,155,stream,3
716,Arawhata Rock Bivouac,156,hut,5
717,Arawhata Saddle,157,pass,4
718,Arawhata Stream,15645,stream,3
719,Arawhata Stream,159,stream,3
720,Arawhata Stream,15648,stream,3
721,Arawhata Stream,15647,stream,3
722,Arawhata Stream,15646,stream,3
723,Arawhatawhata Stream,15650,stream,3
724,Arawiri,15651,hill,5
725,Arbor Rift,15652,gorge(s),5
726,Arcade Creek,15653,stream,3
727,Arcade Creek,161,stream,3
728,Arcade Saddle,163,pass,4
729,Arch Creek,15654,stream,3
730,Archer Gully,15658,gorge(s),5
731,Archer Point,164,point,4
732,Archer Rock,49485,rock,5
733,Archers Stream,165,stream,3
734,Archer Stream,15659,stream,3
735,Arch Falls,15655,waterfall(s),5
736,Arch Hill,15656,hill,5
737,Archies Creek,15660,stream,3
738,Archies Creek,15661,stream,3
739,Archies Flat,15662,plain(s),3
740,Archies Spur,15663,ridge(s),4
741,Architect Creek,15664,stream,3
742,Arch Point,15657,point,4
743,Archway Island,13592,island,4
744,Archway Island,15666,island,4
745,Archway Island,15667,island,4
746,Archway Islands,15668,island,4
747,Ardeer Burn,15669,stream,3
748,Ardeer Peak,15670,hill,5
749,Ardgour,15671,locality,4
750,Ardgowan,15672,locality,4
751,Ardlussa,15673,locality,4
752,Ardmore,15674,locality,4
753,Ardneil Peak,15675,hill,5
754,Arduous Gully,15676,gorge(s),5
755,Arena Creek,15677,stream,3
756,Arero,15678,locality,4
757,Arerotepa Stream,15679,stream,3
758,Arete,15680,hill,5
759,Arete Stream,167,stream,3
760,Arethusa Icefall,168,glacier(s),4
761,Arethusa Pool,169,lake,4
762,Argentum,15685,hill,5
763,Argosy Stream,15686,stream,3
764,Argument Creek,170,stream,3
765,Argyle Beach,55822,beach,3
766,Argyle Burn,15687,stream,3
767,Argyle Creek,15688,stream,3
768,Argyle Hill,15689,hill,5
769,Argyle Pond,15690,lake,4
770,Argyle Substation,171,building(s),5
771,Argyll East,15691,locality,4
772,Aria,15694,locality,4
773,Aria,15693,hill,5
774,Ariawa Stream,15695,stream,3
